data_code,max_hour,sec_max_hour,min_hour,sec_min_hour,cum_early,cum_late,cum_mid,cum_all,threshold,cum_early_percent,cum_late_percent,cum_mid_percent,first_condition_D,second_condition_D,third_condition_D,first_condition_N,second_condition_N,third_condition_N,daytime_peaking,nighttime_peaking
192,16.4958,13.508,7.4888,10.5048,6.031432276,8.212252546,5.35138845,13.0770217,0.571374155,0.461223696,0.627991047,0.409220736,Y,Y,L,Y,N,Y,Y,N
193,19.5091,4.4984,16.4958,7.499,3.342588269,3.740107205,1.855170363,9.222756755,0.571096791,0.362428323,0.405530288,0.201151392,N,N,N,Y,Y,Y,N,Y
194,16.5207,13.5212,7.4704,10.5029,4.010995857,6.556458129,4.137549701,8.26692207,0.570540159,0.485186122,0.793095432,0.500494581,Y,Y,L,Y,N,Y,Y,N
195,16.5217,13.5219,7.4713,10.5023,5.894554963,8.343461395,5.510387385,12.43126106,0.57055101,0.474171923,0.67116774,0.443268576,Y,Y,L,Y,N,Y,Y,N
196,13.5227,16.523,7.4699,10.5017,6.638228875,8.397301372,5.815499096,13.19998876,0.570556435,0.502896555,0.636159736,0.440568488,Y,Y,L,Y,N,Y,Y,N
197,16.5197,19.4992,7.4716,4.5145,4.229582882,7.618902982,4.600005333,9.438627052,0.570591704,0.448114208,0.80720458,0.487359582,Y,Y,L,Y,N,Y,Y,N
198,13.5174,16.5184,7.4942,4.5157,4.543490764,7.334955953,4.974798678,8.457141976,0.570575425,0.53723714,0.867309071,0.588236392,Y,Y,L,Y,N,N,Y,N
199,13.5191,16.5206,7.4938,4.5142,5.053416446,7.64374918,5.115438696,9.584115646,0.570567287,0.527269978,0.797543505,0.533741337,Y,Y,L,Y,N,Y,Y,N
200,13.5031,16.5207,7.4939,4.5143,5.525442243,8.691032332,5.584169081,11.33219051,0.570575425,0.487588189,0.76693313,0.492770491,Y,Y,L,Y,N,Y,Y,N
201,13.5009,16.5193,7.4941,4.5144,5.022828049,7.32948804,5.155697979,8.902373288,0.570564574,0.564212248,0.823318435,0.579137474,Y,Y,L,Y,N,N,Y,N
202,16.0319,15.5799,7.4705,7.7248,4.626114906,7.643487102,6.272244135,9.673536708,0.52496194,0.47822374,0.790144012,0.648392033,Y,Y,L,Y,N,N,Y,N
203,14.0247,14.4198,0.9877,2.1728,7.615731092,9.477749125,7.753161573,13.70083538,0.514829227,0.555858886,0.691764324,0.565889697,Y,Y,L,N,N,N,Y,N
204,16.2,22.7,2.2,10.2,3.024276964,6.036789949,4.228061005,10.21290655,0.506329114,0.296123043,0.591094212,0.413991941,N,Y,L,N,N,Y,N,N
205,19.2299,21.6157,7.1492,11.9845,2.185799087,3.766302337,1.548259478,11.16307293,0.501512897,0.195806218,0.337389387,0.138694738,N,Y,N,Y,Y,Y,N,Y
206,19.2364,4.8223,9.6234,12.0047,5.014420633,5.748583737,3.104109441,14.40370273,0.50336415,0.348134138,0.399104581,0.215507741,Y,N,N,Y,Y,Y,N,Y
207,19.2018,21.6481,11.9953,9.5749,1.879542309,2.32568886,0.675075543,10.21979457,0.503349371,0.183911946,0.227567085,0.066055686,N,N,N,Y,Y,Y,N,Y
208,7.2159,2.4267,9.6238,12.0762,5.247152121,4.711757224,2.896964768,15.28283621,0.500429535,0.343336279,0.308303849,0.18955675,N,N,N,Y,Y,Y,N,Y
209,21.6479,19.2018,9.5747,11.9949,2.087703901,3.161667077,1.199821858,10.8039723,0.502836838,0.193234844,0.292639317,0.11105377,N,N,N,Y,Y,Y,N,Y
